bar,equity
1,1000.0
2,2595.21
3,3750.41
4,4524.62
5,5567.4
6,6649.44
7,7412.27
8,7908.53
9,8875.33
10,10205.82
11,10815.4
12,11271.98
13,11679.34
14,12331.35
15,12655.63
16,12871.31
17,13325.93
18,14240.11
19,15311.53
20,15466.08
21,15626.88
22,15830.46
23,15833.0
24,16744.76
25,16936.89
26,17513.1
27,17737.25
28,18008.45
29,17975.32
30,17943.48
31,18284.46
32,18456.52
33,18530.91
34,18549.74
35,18884.98
36,19541.47
37,20389.37
38,21186.7
39,21428.8
40,22560.1
41,23169.25
42,23458.35
43,23602.75
44,23821.58
45,24238.47
46,24446.97
47,24486.14
48,24683.07
49,25143.48
50,25568.39
51,26105.0
52,26251.04
53,26578.44
54,26711.83
55,26789.23
56,26900.8
57,27057.24
58,27070.49
59,27351.39
60,27767.55
61,27782.86
62,27876.29
63,28196.53
64,28346.33
65,28357.57
66,28561.75
67,28973.65
