month,start_eq,end_eq,return_pct,trades
2021-01,1000.0,2595.21,159.5208,534
2021-02,2594.15,3750.41,44.5718,425
2021-03,3753.54,4524.62,20.5429,446
2021-04,4525.44,5567.4,23.0244,421
2021-05,5558.95,6649.44,19.6168,430
2021-06,6653.3,7412.27,11.4075,527
2021-07,7416.54,7908.53,6.6336,463
2021-08,7909.66,8875.33,12.2088,451
2021-09,8868.1,10205.82,15.0847,496
2021-10,10212.94,10815.4,5.8989,406
2021-11,10811.87,11271.98,4.2556,330
2021-12,11278.87,11679.34,3.5506,451
2022-01,11671.34,12331.35,5.655,307
2022-02,12335.37,12655.63,2.5963,247
2022-03,12652.15,12871.31,1.7322,190
2022-04,12878.27,13325.93,3.476,304
2022-05,13320.82,14240.11,6.9012,417
2022-06,14239.36,15311.53,7.5296,380
2022-07,15314.76,15466.08,0.9881,212
2022-08,15466.2,15626.88,1.0389,167
2022-09,15625.17,15830.46,1.3139,85
2022-10,15826.63,15833.0,0.0403,25
2022-11,15835.03,16744.76,5.7451,168
2022-12,16749.13,16936.89,1.121,39
2023-01,16937.87,17513.1,3.3961,328
2023-02,17506.07,17737.25,1.3206,158
2023-03,17740.01,18008.45,1.5132,188
2023-04,18009.96,17975.32,-0.1924,68
2023-05,17970.29,17943.48,-0.1491,20
2023-06,17941.67,18284.46,1.9106,141
2023-07,18279.9,18456.52,0.9662,128
2023-08,18464.88,18530.91,0.3576,54
2023-09,18535.31,18549.74,0.0779,35
2023-10,18553.67,18884.98,1.7857,162
2023-11,18878.29,19541.47,3.5129,345
2023-12,19536.31,20389.37,4.3666,373
2024-01,20400.57,21186.7,3.8535,327
2024-02,21172.47,21428.8,1.2107,149
2024-03,21439.67,22560.1,5.2259,414
2024-04,22554.87,23169.25,2.7239,311
2024-05,23169.17,23458.35,1.2481,189
2024-06,23457.25,23602.75,0.6203,83
2024-07,23601.33,23821.58,0.9332,184
2024-08,23828.28,24238.47,1.7214,214
2024-09,24241.12,24446.97,0.8492,124
2024-10,24438.07,24486.14,0.1967,107
2024-11,24493.66,24683.07,0.7733,326
2024-12,24677.71,25143.48,1.8874,207
2025-01,25145.31,25568.39,1.6825,176
2025-02,25570.33,26105.0,2.091,245
2025-03,26094.83,26251.04,0.5986,153
2025-04,26264.22,26578.44,1.1964,139
2025-05,26578.27,26711.83,0.5025,120
2025-06,26703.87,26789.23,0.3196,61
2025-07,26794.65,26900.8,0.3962,102
2025-08,26908.52,27057.24,0.5527,121
2025-09,27049.95,27070.49,0.0759,56
2025-10,27065.69,27351.39,1.0556,149
2025-11,27352.67,27767.55,1.5168,199
2025-12,27766.42,27782.86,0.0592,51
2026-01,27782.7,27876.29,0.3369,82
2026-02,27872.24,28196.53,1.1635,166
2026-03,28210.39,28346.33,0.4818,141
2026-04,28337.22,28357.57,0.0718,39
2026-05,28358.93,28561.75,0.7152,167
2026-06,28560.38,28973.65,1.447,310
