symbol,side,is_reverse,pnl,hit_tp1,hit_tp2,avg_added,avg_adds,entry_ts,exit_ts,hold,exit_type,month,period
SOLUSDT,LONG,False,0.0036605009153893127,True,False,True,1,1609468200.0,1609468920.0,4,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.013614354129453108,True,False,True,1,1609483500.0,1609484940.0,8,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.002759516142195573,False,False,False,0,1609487100.0,1609487280.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.004399443855687348,False,False,False,0,1609500060.0,1609500240.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.011024296755792631,False,False,True,1,1609503120.0,1609504020.0,5,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.007638930179613305,True,False,False,0,1609507980.0,1609509420.0,8,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.015346407797097589,True,False,False,0,1609511040.0,1609511940.0,5,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.0026672668787868434,False,False,False,0,1609516980.0,1609517160.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.0005676237293198117,True,False,False,0,1609517520.0,1609518060.0,3,reverse_trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.08856244623562823,True,False,True,1,1609519140.0,1609521660.0,14,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.014578721845066518,False,False,False,0,1609521840.0,1609522020.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.005065507291412046,False,False,False,0,1609533540.0,1609533720.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.009296861597515665,False,False,True,1,1609537320.0,1609537680.0,2,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.018741251077367564,False,False,True,1,1609544340.0,1609545060.0,4,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,-0.0018914486455745673,True,False,False,0,1609545420.0,1609546140.0,4,reverse_trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.004920084469912147,True,False,False,0,1609563060.0,1609563420.0,2,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.01226720571809759,False,False,False,0,1609570080.0,1609570260.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.0030355605323329586,True,False,False,0,1609570620.0,1609574040.0,19,reverse_trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.007027299163492308,False,False,True,1,1609572960.0,1609573320.0,2,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.0011704075912180372,True,False,False,0,1609573680.0,1609574040.0,2,reverse_trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.0020332273872135914,False,False,False,0,1609573320.0,1609573500.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.009071913449863031,False,False,False,0,1609573860.0,1609574400.0,3,reverse_sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.014850258832476322,True,False,False,0,1609576020.0,1609576920.0,5,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.008897066751328583,False,False,False,0,1609594380.0,1609594560.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,-0.015499292509948942,True,False,False,0,1609594920.0,1609597620.0,15,reverse_trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.006944658938900529,False,False,False,0,1609605360.0,1609605540.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.008182541740714823,False,False,False,0,1609605900.0,1609606440.0,3,reverse_sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.08050154306055662,True,True,True,1,1609639740.0,1609641000.0,7,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.02693214855547077,True,False,False,0,1609640460.0,1609641000.0,3,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.010185803627449579,True,False,True,1,1609644060.0,1609644420.0,2,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.0034501462715950328,False,False,False,0,1609650540.0,1609650720.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.0041378733692504655,True,False,True,1,1609650900.0,1609651260.0,2,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.005045054016201776,False,False,False,0,1609659900.0,1609660080.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.06274876797975688,True,True,False,0,1609660980.0,1609662240.0,7,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.002771223108520492,False,False,False,0,1609665660.0,1609665840.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.009845268139135843,False,False,False,0,1609680420.0,1609680600.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.025753038975082597,True,True,False,0,1609712100.0,1609713180.0,6,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.036358020743149456,True,True,False,0,1609715340.0,1609715880.0,3,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.003460780348237134,False,False,False,0,1609717140.0,1609717320.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.007943353269323059,False,False,False,0,1609729740.0,1609729920.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.011582235708964243,False,False,False,0,1609730280.0,1609731900.0,9,reverse_sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.04952092515795119,True,False,True,1,1609731180.0,1609732260.0,6,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.056870643365698026,True,True,True,1,1609769880.0,1609770960.0,6,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.006640206894321534,False,False,False,0,1609802100.0,1609802280.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.0017635438364510202,False,False,False,0,1609864200.0,1609864380.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.0029279838606271337,False,False,False,0,1609864740.0,1609864920.0,1,reverse_sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.026948110008035063,True,True,False,0,1609865640.0,1609866000.0,2,trailing_after_tp1,2021-01,2021
SOLUSDT,SHORT,False,-0.003508331787710589,False,False,False,0,1609908480.0,1609908660.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,False,-0.007856569881071092,False,False,False,0,1609918380.0,1609918560.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,False,-0.006674154830630937,False,False,False,0,1609932420.0,1609932600.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,True,0.0039590767588655665,True,False,False,0,1609932960.0,1609933320.0,2,reverse_trailing_after_tp1,2021-01,2021
SOLUSDT,SHORT,False,-0.004040193848707378,False,False,False,0,1609943220.0,1609943400.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,False,-0.0035714886569499058,False,False,False,0,1609947180.0,1609947360.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,False,0.16174886096706215,True,False,True,1,1609950240.0,1609952040.0,10,trailing_after_tp1,2021-01,2021
SOLUSDT,SHORT,False,0.048546036609006006,True,True,False,0,1609950600.0,1609952040.0,8,trailing_after_tp1,2021-01,2021
SOLUSDT,SHORT,False,-0.008784739860598046,False,False,False,0,1609965000.0,1609965180.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,False,0.02523704080910514,True,False,False,0,1609976700.0,1609977060.0,2,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.005782690090505145,False,False,False,0,1610033220.0,1610033400.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.005451855052710018,False,False,False,0,1610033760.0,1610033940.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.007679975636101572,False,False,False,0,1610042580.0,1610042760.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.010351984330632252,False,False,False,0,1610048700.0,1610048880.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.0050958397931302885,False,False,False,0,1610057520.0,1610057700.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.007285657619696522,False,False,False,0,1610062560.0,1610062740.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.05498388018114183,True,False,True,1,1610063640.0,1610064360.0,4,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.02643978418008878,True,False,False,0,1610127000.0,1610127900.0,5,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.03399830701614921,True,False,True,1,1610132940.0,1610134560.0,9,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.006441923896655444,False,False,False,0,1610152020.0,1610152200.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,-0.012987900611268616,True,True,False,0,1610152560.0,1610153280.0,4,reverse_trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.004872705613040694,False,False,False,0,1610154000.0,1610154180.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.01418334079048809,False,False,False,0,1610154540.0,1610154720.0,1,reverse_sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.014928971141565694,True,False,True,1,1610194320.0,1610195040.0,4,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.06163929057753921,True,False,True,1,1610241120.0,1610243100.0,11,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.0195493768595402,True,True,False,0,1610242020.0,1610243100.0,6,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.0030752177802045627,False,False,False,0,1610250660.0,1610250840.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.003893365069040569,False,False,False,0,1610254080.0,1610254260.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.004177022667011768,False,False,False,0,1610254620.0,1610255160.0,3,reverse_sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.002450849522333904,False,False,False,0,1610257680.0,1610257860.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.007228297172279158,False,False,False,0,1610296380.0,1610296560.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,SHORT,True,0.01199641463186373,False,False,False,0,1610296920.0,1610297280.0,2,reverse_sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.0041500595701968734,False,False,False,0,1610313300.0,1610313480.0,1,sl_before_tp1,2021-01,2021
