mode,reverse_mult,year,return_pct,maxdd_pct,trades,pf,win_rate,reverse_events
reverse_mult_1.00x,1.0,2021,555.3881702,11.895260330992,1309,2.7642073100625892,32.391138273491215,216
reverse_mult_1.00x,1.0,2022,637.7789592,7.719481735236183,1642,2.7717290029333,34.40925700365408,276
reverse_mult_1.00x,1.0,2023,526.4674334,7.339228432722318,1659,2.5798042792398586,32.730560578661844,297
reverse_mult_1.00x,1.0,2024,458.69948000000005,6.9458433906367,1724,2.322837110440782,32.01856148491879,309
reverse_mult_1.00x,1.0,2025,413.396445,6.752899618431515,1764,2.1831839592351328,31.462585034013607,317
reverse_mult_1.00x,1.0,2026,133.008918,6.124538177945517,732,1.8879873119619588,29.78142076502732,142
reverse_mult_1.25x,1.25,2021,563.17747785,11.598080111421691,1309,2.738601513471572,32.391138273491215,216
reverse_mult_1.25x,1.25,2022,648.4141893999999,8.392844637937037,1642,2.733135529813878,34.40925700365408,276
reverse_mult_1.25x,1.25,2023,539.5450339500001,7.7866898436603025,1659,2.5496352979265353,32.730560578661844,297
reverse_mult_1.25x,1.25,2024,468.5051814,7.8219356872111385,1724,2.2975817520632957,32.01856148491879,309
reverse_mult_1.25x,1.25,2025,429.27320775,6.7948998485561765,1764,2.1846767803157117,31.462585034013607,317
reverse_mult_1.25x,1.25,2026,136.44702385000002,6.581417293100916,732,1.8741193648153434,29.78142076502732,142
reverse_mult_1.50x,1.5,2021,570.9667855000001,11.302079068567915,1309,2.7152861783442264,32.391138273491215,216
reverse_mult_1.50x,1.5,2022,659.0494196000001,9.063066371679557,1642,2.697855482830782,34.40925700365408,276
reverse_mult_1.50x,1.5,2023,552.6226345000001,8.23415125459827,1659,2.5220269976558622,32.730560578661844,297
reverse_mult_1.50x,1.5,2024,478.3108827999999,8.694280270511872,1724,2.274753542436028,32.01856148491879,309
reverse_mult_1.50x,1.5,2025,445.1499705,6.849358366496112,1764,2.1862309092249794,31.462585034013607,317
reverse_mult_1.50x,1.5,2026,139.8851297,7.037088027539129,732,1.8620132009433579,29.78142076502732,142
reverse_mult_1.75x,1.75,2021,578.7560931500001,11.063349332384655,1309,2.6939823948758126,32.391138273491215,216
reverse_mult_1.75x,1.75,2022,669.6846497999999,9.730160118046046,1642,2.6654804880197123,34.40925700365408,276
reverse_mult_1.75x,1.75,2023,565.70023505,8.681612665536244,1659,2.4966598303517427,32.730560578661844,297
reverse_mult_1.75x,1.75,2024,488.1165841999999,9.562901136944777,1724,2.2540146417338955,32.01856148491879,309
reverse_mult_1.75x,1.75,2025,461.02673325,7.049310680698106,1764,2.1878198926680628,31.462585034013607,317
reverse_mult_1.75x,1.75,2026,143.32323555,7.491555168923247,732,1.8514081905604627,29.78142076502732,142
reverse_mult_2.00x,2.0,2021,586.5454008,11.620528260154767,1309,2.674455096916284,32.391138273491215,216
reverse_mult_2.00x,2.0,2022,680.3198799999998,10.394138984968396,1642,2.6356671355573127,34.40925700365408,276
reverse_mult_2.00x,2.0,2023,578.7778356000001,9.129074076474218,1659,2.4732663636209544,32.730560578661844,297
reverse_mult_2.00x,2.0,2024,497.9222855999999,10.427822078488509,1724,2.2350878965342513,32.01856148491879,309
reverse_mult_2.00x,2.0,2025,476.90349599999996,7.412098906898478,1764,2.1894240262560363,31.462585034013607,317
reverse_mult_2.00x,2.0,2026,146.7613414,7.94482347965777,732,1.8420906267476487,29.78142076502732,142
