month,start_eq,end_eq,return_pct,trades,max_dd_pct
2021-01,1000.00,2914.35,191.4349,534,2.6875
2021-02,1000.00,2473.14,147.3143,425,3.6077
2021-03,1000.00,2000.47,100.0473,446,3.4555
2021-04,1000.00,2697.19,169.7192,421,5.9813
2021-05,1000.00,1538.15,53.8154,430,4.2756
2021-06,1000.00,2095.55,109.5549,527,3.5424
2021-07,1000.00,1802.26,80.2260,463,4.5480
2021-08,1000.00,2409.47,140.9468,451,4.2810
2021-09,1000.00,2155.83,115.5826,496,3.7599
2021-10,1000.00,1758.80,75.8804,406,3.4072
2021-11,1000.00,1857.96,85.7961,330,7.5602
2021-12,1000.00,1190.26,19.0262,451,6.0943
2022-01,1000.00,2001.08,100.1076,307,3.7975
2022-02,1000.00,1341.25,34.1245,247,5.9046
2022-03,1000.00,1312.56,31.2560,190,3.5664
2022-04,1000.00,1579.15,57.9155,304,4.0885
2022-05,1000.00,1718.65,71.8649,417,4.4650
2022-06,1000.00,2361.14,136.1144,380,5.2770
2022-07,1000.00,1079.70,7.9704,212,3.7721
2022-08,1000.00,1048.25,4.8248,167,4.7417
2022-09,1000.00,1197.59,19.7593,85,4.1360
2022-10,1000.00,987.28,-1.2715,25,3.7356
2022-11,1000.00,1821.38,82.1377,168,2.8408
2022-12,1000.00,1204.86,20.4856,39,5.7561
2023-01,1000.00,1604.65,60.4649,328,7.2139
2023-02,1000.00,1150.77,15.0769,158,5.9182
2023-03,1000.00,1183.21,18.3209,188,5.0505
2023-04,1000.00,965.65,-3.4353,68,3.6521
2023-05,1000.00,995.01,-0.4986,20,0.5206
2023-06,1000.00,1689.01,68.9009,141,2.0663
2023-07,1000.00,1276.57,27.6573,128,3.3179
2023-08,1000.00,1086.05,8.6050,54,3.2383
2023-09,1000.00,1057.05,5.7054,35,5.6158
2023-10,1000.00,1236.45,23.6455,162,4.2327
2023-11,1000.00,1976.10,97.6105,345,4.0538
2023-12,1000.00,2292.66,129.2660,373,3.6000
2024-01,1000.00,2377.85,137.7852,327,5.1618
2024-02,1000.00,1348.03,34.8033,149,4.3344
2024-03,1000.00,2220.75,122.0750,414,3.6316
2024-04,1000.00,2020.72,102.0720,311,6.1051
2024-05,1000.00,1260.66,26.0657,189,6.9950
2024-06,1000.00,1168.56,16.8562,83,3.1456
2024-07,1000.00,1261.30,26.1304,184,11.4586
2024-08,1000.00,1819.93,81.9934,214,4.5735
2024-09,1000.00,1409.06,40.9055,124,4.1759
2024-10,1000.00,1093.60,9.3599,107,2.2753
2024-11,1000.00,1179.60,17.9597,326,6.8019
2024-12,1000.00,1691.22,69.1224,207,3.4533
2025-01,1000.00,1663.26,66.3260,176,2.8662
2025-02,1000.00,1497.89,49.7895,245,3.1197
2025-03,1000.00,1224.55,22.4553,153,4.3181
2025-04,1000.00,1509.24,50.9242,139,3.1403
2025-05,1000.00,1245.66,24.5663,120,4.4469
2025-06,1000.00,1042.00,4.1996,61,5.5144
2025-07,1000.00,1084.11,8.4107,102,1.9129
2025-08,1000.00,1297.67,29.7670,121,4.5218
2025-09,1000.00,988.38,-1.1618,56,1.3817
2025-10,1000.00,1484.42,48.4420,149,2.3667
2025-11,1000.00,1803.24,80.3237,199,2.7614
2025-12,1000.00,995.05,-0.4952,51,1.0518
2026-01,1000.00,1034.74,3.4741,82,4.2237
2026-02,1000.00,1469.37,46.9374,166,2.1084
2026-03,1000.00,1065.21,6.5215,141,5.0554
2026-04,1000.00,1009.34,0.9336,39,1.7734
2026-05,1000.00,1139.10,13.9102,167,2.6091
2026-06,1000.00,1428.12,42.8120,310,3.1825
