trade,entry_ts,equity_before,pnl_usd,equity_after
1,1609468200.0,1000.0,21.46,1021.46
2,1609468200.0,1021.46,180.44,1201.9
3,1609483500.0,1201.9,39.17,1241.07
4,1609487100.0,1241.07,-11.7,1229.38
5,1609487280.0,1229.38,56.3,1285.67
6,1609496460.0,1285.67,-11.23,1274.44
7,1609497180.0,1274.44,56.94,1331.38
8,1609500060.0,1331.38,-11.0,1320.38
9,1609503120.0,1320.38,-25.27,1295.11
10,1609507980.0,1295.11,17.4,1312.51
11,1609511040.0,1312.51,85.21,1397.72
12,1609511220.0,1397.72,55.96,1453.68
13,1609516620.0,1453.68,-10.65,1443.02
14,1609516620.0,1443.02,-10.9,1432.12
15,1609516980.0,1432.12,-11.76,1420.35
16,1609517520.0,1420.35,0.94,1421.29
17,1609519140.0,1421.29,173.05,1594.34
18,1609521840.0,1594.34,-10.28,1584.06
19,1609523820.0,1584.06,-11.98,1572.08
20,1609524360.0,1572.08,9.42,1581.49
21,1609533540.0,1581.49,-10.86,1570.64
22,1609537320.0,1570.64,-26.18,1544.45
23,1609544340.0,1544.45,-23.46,1521.0
24,1609545420.0,1521.0,-2.03,1518.96
25,1609547400.0,1518.96,-10.98,1507.99
26,1609550640.0,1507.99,42.07,1550.06
27,1609552080.0,1550.06,-25.38,1524.68
28,1609553160.0,1524.68,-11.59,1513.09
29,1609563060.0,1513.09,10.0,1523.09
30,1609570080.0,1523.09,-10.34,1512.75
31,1609570620.0,1512.75,1.77,1514.52
32,1609572960.0,1514.52,-28.3,1486.23
33,1609573320.0,1486.23,-12.45,1473.78
34,1609573680.0,1473.78,2.47,1476.24
35,1609573860.0,1476.24,9.58,1485.82
36,1609576020.0,1485.82,23.97,1509.79
37,1609594380.0,1509.79,-10.47,1499.32
38,1609594920.0,1499.32,-11.73,1487.6
39,1609605360.0,1487.6,-10.61,1476.99
40,1609605900.0,1476.99,9.53,1486.52
41,1609637940.0,1486.52,-11.32,1475.2
42,1609639740.0,1475.2,322.6,1797.8
43,1609640460.0,1797.8,63.6,1861.39
44,1609644060.0,1861.39,13.97,1875.36
45,1609649820.0,1875.36,-11.07,1864.29
46,1609650360.0,1864.29,-0.1,1864.19
47,1609650540.0,1864.19,-11.31,1852.88
48,1609650900.0,1852.88,-7.53,1845.35
49,1609654500.0,1845.35,-5.02,1840.33
50,1609659900.0,1840.33,-10.86,1829.47
51,1609660980.0,1829.47,229.97,2059.44
52,1609665660.0,2059.44,-11.69,2047.76
53,1609668360.0,2047.76,-10.99,2036.77
54,1609668360.0,2036.77,-11.5,2025.27
55,1609671600.0,2025.27,61.36,2086.63
56,1609671780.0,2086.63,38.67,2125.29
57,1609678620.0,2125.29,14.58,2139.87
58,1609680420.0,2139.87,-10.42,2129.45
59,1609681320.0,2129.45,-11.1,2118.35
60,1609682220.0,2118.35,-1.16,2117.19
61,1609712100.0,2117.19,33.03,2150.22
62,1609715340.0,2150.22,80.72,2230.94
63,1609717140.0,2230.94,-11.31,2219.64
64,1609719300.0,2219.64,4.32,2223.96
65,1609720200.0,2223.96,-11.78,2212.18
66,1609720740.0,2212.18,1.5,2213.67
67,1609729740.0,2213.67,-10.53,2203.14
68,1609730280.0,2203.14,9.67,2212.81
69,1609731180.0,2212.81,46.24,2259.05
70,1609737660.0,2259.05,22.68,2281.72
71,1609738020.0,2281.72,15.32,2297.05
